,PK,time
1177,670.7340538810759,1177
1178,668.5468719603106,1178
1179,666.3704455774324,1179
1180,664.2046240581323,1180
1181,662.0492605887531,1181
1182,659.9042121063808,1182
1183,657.7693391920967,1183
1184,655.6445059673111,1184
1185,653.529579993078,1185
1186,651.4244321723157,1186
1187,649.3289366548407,1187
1188,647.242970745139,1188
1189,645.1664148127938,1189
1190,643.0991522054932,1190
1191,641.0410691645437,1191
1192,638.9920547428164,1192
1193,636.9520007250579,1193
1194,634.9208015504959,1194
1195,632.898354237671,1195
1196,630.8845583114376,1196
1197,628.8793157320624,1197
1198,626.8825308263674,1198
1199,624.8941102208545,1199
1200,622.9139627767545,1200
1201,620.9419995269475,1201
1202,618.978133614698,1202
1203,617.0222802341543,1203
1204,615.0743565725595,1204
1205,613.1342817541268,1205
1206,611.2019767855298,1206
1207,609.2773645029604,1207
1208,607.3603695207114,1208
1209,605.4509181812379,1209
1210,603.5489385066561,1210
1211,601.6543601516368,1211
1212,599.767114357653,1212
1213,597.8871339085463,1213
1214,596.0143530873692,1214
1215,594.1487076344678,1215
1216,592.2901347067722,1216
1217,590.4385728382566,1217
1218,588.593961901536,1218
1219,586.756243070566,1219
1220,584.925358784416,1220
1221,583.1012527120849,1221
1222,581.283869718325,1222
1223,579.4731558304495,1223
1224,577.6690582060958,1224
1225,575.8715251019106,1225
1226,574.0805058431388,1226
1227,572.2959507940827,1227
1228,570.5178113294128,1228
1229,568.7460398062991,1229
1230,566.9805895373448,1230
1231,565.2214147642976,1231
1232,563.4684706325135,1232
1233,561.7217131661542,1233
1234,559.9810992440985,1234
1235,558.2465865765411,1235
1236,556.5181336822659,1236
1237,554.7956998665705,1237
1238,553.0792451998224,1238
1239,551.3687304966322,1239
1240,549.6641172956222,1240
1241,547.9653678397758,1241
1242,546.2724450573501,1242
1243,544.5853125433362,1243
1244,542.9039345414487,1244
1245,541.2282759266333,1245
1246,539.5583021880734,1246
1247,537.8939794126858,1247
1248,536.2352742690857,1248
1249,534.5821539920139,1249
1250,532.9345863672079,1250
1251,531.2925397167052,1251
1252,529.6559828845692,1252
1253,528.0248852230213,1253
1254,526.3992165789707,1254
1255,524.7789472809279,1255
1256,523.1640481262942,1256
1257,521.5544903690129,1257
1258,519.9502457075727,1258
1259,518.351286273356,1259
1260,516.7575846193165,1260
1261,515.1691137089837,1261
1262,513.5858469057774,1262
1263,512.0077579626301,1263
1264,510.4348210119026,1264
1265,508.86701055558984,1265
1266,507.3043014558036,1266
1267,505.7466689255267,1267
1268,504.19408851963175,1268
1269,502.646536126154,1269
1270,501.10398795781407,1270
1271,499.5664205437795,1271
1272,498.03381072166366,1272
1273,496.5061356297499,1273
1274,494.98337269943664,1274
1275,493.46549964789807,1275
1276,491.95249447095324,1276
1277,490.4443354361361,1277
1278,488.94100107596347,1278
1279,487.4424701813937,1279
1280,485.94872179546974,1280
1281,484.45973520714364,1281
1282,482.9754899452751,1282
1283,481.4959657727994,1283
1284,480.02114268106214,1284
1285,478.5510008843113,1285
1286,477.0855208143475,1286
1287,475.62468311532416,1287
1288,474.1684686386944,1288
1289,472.71685843830085,1289
1290,471.26983376560304,1290
1291,469.8273760650406,1291
1292,468.38946696952627,1292
1293,466.9560882960648,1293
1294,465.527222041497,1294
1295,464.1028503783615,1295
1296,462.6829556508744,1296
1297,461.2675203710199,1297
1298,459.8565272147523,1298
1299,458.44995901830316,1299
1300,457.04779877459225,1300
1301,455.65002962973966,1301
1302,454.2566348796736,1302
1303,452.86759796683504,1303
1304,451.48290247697247,1304
1305,450.10253213602755,1305
1306,448.7264708071064,1306
1307,447.35470248753575,1307
1308,445.987211306001,1308
1309,444.6239815197629,1309
1310,443.2649975119528,1310
1311,441.9102437889418,1311
1312,440.55970497778367,1312
1313,439.2133658237275,1313
1314,437.8712111877997,1314
1315,436.5332260444528,1315
1316,435.19939547927913,1316
1317,433.8697046867863,1317
1318,432.5441389682359,1318
1319,431.22268372954017,1319
1320,429.9053244792166,1320
1321,428.5920468263979,1321
1322,427.2828364788991,1322
1323,425.9776792413336,1323
1324,424.6765610132837,1324
1325,423.37946778751973,1325
1326,422.0863856482676,1326
1327,420.79730076952376,1327
1328,419.51219941341554,1328
1329,418.2310679286067,1329
1330,416.95389274874435,1330
1331,415.6806603909505,1331
1332,414.41135745435116,1332
1333,413.1459706186474,1333
1334,411.8844866427243,1334
1335,410.62689236329544,1335
1336,409.37317469358663,1336
1337,408.12332062205246,1337
1338,406.87731721112766,1338
1339,405.6351515960124,1339
1340,404.3968109834887,1340
1341,403.1622826507693,1341
1342,401.9315539443761,1342
1343,400.7046122790482,1343
1344,426.0571005466502,1344
1345,1159.2626485397398,1345
1346,1849.3697461176255,1346
1347,1824.914692653902,1347
1348,1801.077113099478,1348
1349,1777.8394594948597,1349
1350,1755.1846893962775,1350
1351,1733.0962512918404,1351
1352,1711.5580704384847,1352
1353,1690.554535107586,1353
1354,1670.0704832274353,1354
1355,1650.0911894111302,1355
1356,1630.6023523587635,1356
1357,1611.5900826231043,1357
1358,1593.040890728289,1358
1359,1574.9416756313256,1359
1360,1557.2797135165356,1360
1361,1540.0426469133129,1361
1362,1523.2184741278743,1362
1363,1506.7955389799495,1363
1364,1490.762520835599,1364
1365,1475.1084249276244,1365
1366,1459.822572955269,1366
1367,1444.8945939551545,1367
1368,1430.3144154356194,1368
1369,1416.0722547668652,1369
1370,1402.1586108195277,1370
1371,1388.5642558445077,1371
1372,1375.2802275870902,1372
1373,1362.2978216286074,1373
1374,1349.6085839490631,1374
1375,1337.2043037043584,1375
1376,1325.0770062119118,1376
1377,1313.2189461386743,1377
1378,1301.6226008856895,1378
1379,1290.2806641635323,1379
1380,1279.1860397531168,1380
1381,1268.3318354465257,1381
1382,1257.711357162667,1382
1383,1247.3181032327125,1383
1384,1237.1457588504188,1384
1385,1227.1881906825765,1385
1386,1217.4394416349605,1386
1387,1207.8937257693028,1387
1388,1198.5454233669252,1388
1389,1189.3890761347993,1389
1390,1180.4193825499265,1390
1391,1171.6311933380503,1391
1392,1163.019507082814,1392
1393,1154.5794659616113,1393
1394,1146.3063516044701,1394
1395,1138.1955810724148,1395
1396,1130.2427029518697,1396
1397,1122.443393561745,1397
1398,1114.7934532699583,1398
1399,1107.2888029162377,1399
1400,1099.9254803381334,1400
1401,1092.6996369972615,1401
1402,1085.6075347028923,1402
1403,1078.6455424300686,1403
1404,1071.8101332295284,1404
1405,1065.097881226786,1405
1406,1058.5054587077943,1406
1407,1052.0296332886908,1407
1408,1045.6672651672059,1408
1409,1039.4153044533718,1409
1410,1033.2707885772452,1410
1411,1027.2308397714235,1411
1412,1021.2926626261944,1412
1413,1015.4535417152249,1413
1414,1009.7108392897495,1414
1415,1004.0619930392929,1415
1416,998.5045139169886,1416
1417,993.0359840276511,1417
1418,987.6540545767723,1418
1419,982.3564438786963,1419
1420,977.140935422259,1420
1421,972.005375992238,1421
1422,966.9476738449993,1422
1423,961.9657969367792,1423
1424,957.057771203081,1424
1425,952.2216788877146,1425
1426,947.4556569200428,1426
1427,942.757895339045,1427
1428,938.1266357628482,1428
1429,933.560169902414,1429
1430,929.0568381181032,1430
1431,924.6150280178866,1431
1432,920.2331730959954,1432
1433,915.90975141085,1433
1434,911.6432843011253,1434
1435,907.4323351388623,1435
1436,903.2755081185492,1436
1437,899.1714470811364,1437
1438,895.1188343719812,1438
1439,891.1163897317365,1439
1440,887.1628692192377,1440
1441,883.2570641654646,1441
1442,879.3978001576769,1442
1443,875.583936052861,1443
1444,871.8143630196317,1444
1445,868.0880036077788,1445
1446,864.4038108446522,1446
1447,860.7607673576157,1447
1448,857.1578845218164,1448
1449,853.5942016325386,1449
1450,850.0687851014342,1450
1451,846.580727675937,1451
1452,843.1291476811984,1452
1453,839.7131882838897,1453
1454,836.3320167772386,1454
1455,832.9848238866945,1455
1456,829.6708230956201,1456
1457,826.3892499904343,1457
1458,823.1393616246456,1458
1459,819.9204359012311,1459
1460,816.7317709728297,1460
1461,813.5726846592377,1461
1462,810.4425138817065,1462
1463,807.340614113559,1463
1464,804.2663588466506,1464
1465,801.219139073221,1465
1466,798.1983627826918,1466
1467,795.2034544729779,1467
1468,792.2338546758938,1468
1469,789.2890194962494,1469
1470,786.3684201642396,1470
1471,783.4715426007442,1471
1472,780.5978869951641,1472
1473,777.7469673954362,1473
1474,774.9183113098702,1474
1475,772.1114593204705,1475
1476,769.32596470741,1476
1477,766.5613930843335,1477
1478,763.8173220441809,1478
1479,761.0933408152216,1479
1480,758.3890499270128,1480
1481,755.7040608859867,1481
1482,753.0379958603971,1482
1483,750.39048737435,1483
1484,747.7611780106565,1484
1485,745.149720122258,1485
1486,742.5557755519686,1486
1487,739.9790153603026,1487
1488,737.4191195611486,1488
1489,734.8757768650664,1489
1490,732.3486844299853,1490
1491,729.8375476190912,1491
